Name,Info1,Info2,Discount %,Price,Rating,Release
HOT WHEELS UNLEASHED™,Daily Deal,"all-time low: R$ 16,49 at -85%",-85%,"R$ 29,92",76.39%,Sep 2021
Hotel Renovator,,,-50%,"R$ 44,95",76.27%,Mar 2023
Hellslave,,,-75%,"R$ 11,49",75.97%,May 2022
Aegis Defenders,Midweek Deal,current 2-year low,-75%,"R$ 9,24",75.62%,Feb 2018
Watch_Dogs™,Midweek Deal,"2-year low: R$ 13,49",-85%,"R$ 14,24",75.45%,May 2014
Hearts of Iron III,Weekend Deal,"2-year low: R$ 4,24",-75%,"R$ 8,99",75.10%,Aug 2009
Nanotale - Typing Chronicles,,,-60%,"R$ 18,39",74.95%,Mar 2021
Age of Wonders,Weekend Deal,"all-time low: R$ 1,99 at -80%",-75%,"R$ 5,49",74.90%,—
SpellForce 3 Reforced,,,-80%,"R$ 15,09",74.60%,Dec 2017
Cities in Motion,Weekend Deal,"all-time low: R$ 8,74 at -75%",-50%,"R$ 35,99",73.51%,Feb 2011
Vampire: The Masquerade - Shadows of New York,,,-80%,"R$ 5,37",73.29%,Sep 2020
Popup Dungeon,,,-60%,"R$ 18,99",72.88%,Aug 2020
Steel Division: Normandy 44,Weekend Deal,"all-time low: R$ 18,24 at -75%",-66%,"R$ 24,47",72.75%,May 2017
NeuroVoider,Midweek Deal,"all-time low: R$ 6,79 at -80%",-75%,"R$ 8,49",72.57%,Aug 2016
SpellForce 2 - Anniversary Edition,Daily Deal,current 2-year low,-80%,"R$ 4,99",72.47%,Oct 2009
Internet Cafe Simulator 2,Daily Deal,"all-time low: R$ 18,99 at -50%",-60%,"R$ 23,99",72.26%,Jan 2022
DRIFT CE,Daily Deal,"all-time low: R$ 29,70 at -70%",-50%,"R$ 49,50",71.15%,Jun 2021
Vampire: The Masquerade - Coteries of New York,,,-90%,"R$ 3,79",70.79%,Dec 2019
Surviving the Aftermath,Weekend Deal,"all-time low: R$ 17,39 at -70%",-70%,"R$ 32,39",69.39%,Nov 2021
Wurm Unlimited,,,-75%,"R$ 27,49",69.34%,Oct 2015
Belladonna,Midweek Deal,"all-time low: R$ 1,39 at -90%",-75%,"R$ 3,62",69.16%,Feb 2015
Majesty 2,Weekend Deal,"all-time low: R$ 4,24 at -75%",-75%,"R$ 8,99",67.49%,Sep 2009
Warlock 2: The Exiled,Weekend Deal,"all-time low: R$ 7,39 at -80%",-75%,"R$ 17,99",67.18%,Apr 2014
King Arthur - The Role-playing Wargame,Weekend Deal,"all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",66.84%,Nov 2009
Cafe Owner Simulator,,,-60%,"R$ 23,19",66.48%,Dec 2022
Souldiers,,,-65%,"R$ 16,09",65.57%,Jun 2022
WRC 5 FIA World Rally Championship,,,-90%,"R$ 2,06",65.42%,Oct 2015
Victoria 3,,,-76%,"R$ 43,19",65.08%,Oct 2022
NECROPOLIS: BRUTAL EDITION,Weekend Deal,"2-year low: R$ 11,19",-75%,"R$ 26,99",63.76%,—
A Game of Dwarves,Weekend Deal,"all-time low: R$ 3,39 at -80%",-75%,"R$ 8,99",61.53%,Oct 2012
Euro Truck Simulator 2,,,-75%,"R$ 15,49",96.61%,Oct 2012
Slay the Spire,,,-66%,"R$ 25,49",96.55%,Jan 2019
Bloons TD 6,,,-65%,"R$ 9,76",96.30%,Dec 2018
Dead Cells,,,-50%,"R$ 23,74",95.88%,Aug 2018
Hotline Miami,,,-80%,"R$ 6,59",95.77%,Oct 2012
The Wolf Among Us,Week Long Deal,"2-year low: R$ 8,69",-50%,"R$ 25,00",95.71%,Oct 2013
The Witcher® 3: Wild Hunt,,,-75%,"R$ 32,49",95.33%,May 2015
Oxygen Not Included,,,-66%,"R$ 15,63",95.33%,Jul 2019
Broforce,,,-80%,"R$ 9,39",95.26%,Oct 2015
Keep Talking and Nobody Explodes,,,-60%,"R$ 18,79",95.10%,Oct 2015
INSIDE,,,-90%,"R$ 7,40",95.09%,Jul 2016
Tales of the Black Forest,,,-70%,"R$ 4,13",95.06%,Sep 2019
Stronghold Crusader HD,,,-70%,"R$ 5,09",95.06%,Jul 2002
Tomb Raider,,,-80%,"R$ 12,49",95.01%,Mar 2013
GRIS,,,-80%,"R$ 9,39",94.94%,Dec 2018
Milk inside a bag of milk inside a bag of milk,Week Long Deal,"all-time low: R$ 1,04 at -70%",-50%,"R$ 1,74",94.76%,Aug 2020
Mirror,,,-60%,"R$ 2,79",94.56%,Apr 2018
Enter the Gungeon,,,-70%,"R$ 14,09",94.24%,Apr 2016
Supreme Commander: Forged Alliance,,,-80%,"R$ 6,79",94.12%,Sep 2011
FTL: Faster Than Light,,,-75%,"R$ 5,99",94.03%,Sep 2012
Fox Hime Zero,,,-70%,"R$ 2,09",93.84%,May 2018
Streets of Rogue,,,-75%,"R$ 14,99",93.81%,Jul 2019
Crypt of the NecroDancer,,,-80%,"R$ 9,39",93.71%,Apr 2015
FlatOut 2™,,,-80%,"R$ 13,99",93.70%,Aug 2006
shapez,,,-78%,"R$ 10,83",93.68%,Jun 2020
Downwell,,,-67%,"R$ 3,46",93.65%,Oct 2015
Paint the Town Red,,,-50%,"R$ 29,99",93.63%,Jul 2021
Metal: Hellsinger,Week Long Deal,"all-time low: R$ 26,09 at -67%",-60%,"R$ 31,63",93.61%,Sep 2022
Superflight,,,-50%,"R$ 5,24",93.59%,Nov 2017
The Talos Principle,,,-85%,"R$ 13,34",93.47%,Dec 2014
TY the Tasmanian Tiger,Week Long Deal,"all-time low: R$ 9,79 at -65%",-50%,"R$ 13,99",93.47%,Dec 2016
Bit Blaster XL,Week Long Deal,"all-time low: R$ 1,09 at -50%",-50%,"R$ 1,74",93.15%,Jan 2016
Orcs Must Die!,,,-75%,"R$ 5,17",93.14%,Oct 2011
Retrowave,,,-50%,"R$ 5,24",93.10%,May 2022
ROUNDS,,,-50%,"R$ 8,99",93.05%,Apr 2021
AudioSurf,,,-75%,"R$ 8,24",93.00%,Feb 2008
Fluffy Store,,,-70%,"R$ 2,09",92.85%,Aug 2019
Star of Providence,,,-50%,"R$ 23,49",92.73%,Jun 2017
Rise of the Tomb Raider™,,,-80%,"R$ 24,99",92.70%,Feb 2016
LYNE,,,-60%,"R$ 4,19",92.69%,Mar 2014
Pikuniku,,,-80%,"R$ 8,39",92.60%,Jan 2019
Stronghold HD (2012),Week Long Deal,current 2-year low,-70%,"R$ 3,59",92.59%,Oct 2001
Stick Fight: The Game,,,-60%,"R$ 6,00",92.38%,Sep 2017
DR LIVESEY ROM AND DEATH EDITION,,,-50%,"R$ 1,74",92.38%,Feb 2023
Hotline Miami 2: Wrong Number,,,-85%,"R$ 7,04",92.31%,Mar 2015
CARRION,,,-70%,"R$ 17,99",92.31%,Jul 2020
Mount Your Friends,Week Long Deal,"2-year low: R$ 3,67",-65%,"R$ 5,94",92.27%,Jul 2014
Tales of Maj'Eyal,,,-50%,"R$ 6,99",92.17%,Dec 2012
Long Live The Queen,Week Long Deal,"2-year low: R$ 5,99",-65%,"R$ 9,09",91.88%,Nov 2013
Descenders,,,-70%,"R$ 14,24",91.86%,May 2019
Max Payne 2: The Fall of Max Payne,,,-65%,"R$ 5,24",91.79%,Oct 2003
Sleeping Dogs: Definitive Edition,,,-85%,"R$ 8,39",91.68%,Oct 2014
Chronicon,,,-60%,"R$ 17,79",91.67%,Aug 2020
